Iteration,Subset_Size,Initial_Method,GuideTree_Method,RFFN,RFFP,SPFN,SPFP,Runtime,RFFN_std,RFFP_std,SPFN_std,SPFP_std
4,200,magus,ft,0.0676,0.0699,0.1409,0.1307,1030.2500,0.0201,0.0203,0.0394,0.0408
1,200,magus,ftnoml,0.1094,0.1116,0.1402,0.1305,530.7500,0.0305,0.0308,0.0350,0.0357
2,200,magus,ftnoml,0.0971,0.0993,0.1332,0.1232,621.7500,0.0226,0.0227,0.0333,0.0331
3,200,magus,ftnoml,0.0971,0.0993,0.1380,0.1282,711.2500,0.0189,0.0190,0.0395,0.0394
4,200,magus,ftnoml,0.0960,0.0982,0.1438,0.1331,800.2500,0.0151,0.0153,0.0408,0.0416
1,200,clustalo,ft,0.3024,0.3042,0.3493,0.3178,435.0000,0.0282,0.0283,0.0965,0.0861
2,200,clustalo,ft,0.1394,0.1415,0.1561,0.1441,660.0000,0.0367,0.0368,0.0471,0.0469
3,200,clustalo,ft,0.0773,0.0796,0.1440,0.1339,831.0000,0.0239,0.0241,0.0397,0.0392
4,200,clustalo,ft,0.0778,0.0801,0.1412,0.1283,998.0000,0.0221,0.0223,0.0346,0.0344
1,200,clustalo,ftnoml,0.3024,0.3042,0.3493,0.3178,435.0000,0.0282,0.0283,0.0965,0.0861
2,200,clustalo,ftnoml,0.1520,0.1542,0.1575,0.1430,553.0000,0.0318,0.0319,0.0336,0.0399
3,200,clustalo,ftnoml,0.1080,0.1102,0.1539,0.1401,644.5000,0.0190,0.0190,0.0291,0.0345
4,200,clustalo,ftnoml,0.1031,0.1054,0.1568,0.1415,735.5000,0.0172,0.0173,0.0308,0.0363
