Iteration,Subset_Size,Initial_Method,GuideTree_Method,RFFN,RFFP,SPFN,SPFP,Runtime,Replicate
3,10,clustalo,ftnoml,0.1275,0.1301,0.2055,0.1861,659,1
3,10,clustalo,ftnoml,0.1189,0.1206,0.1645,0.1488,764,2
3,10,clustalo,ftnoml,0.1254,0.1271,0.1202,0.1039,726,3
3,10,clustalo,ftnoml,0.1777,0.1802,0.2864,0.2535,593,4
3,10,clustalo,ftnoml,0.0903,0.0921,0.1388,0.1231,958,5
3,10,clustalo,ftnoml,0.1244,0.1261,0.1700,0.1584,632,6
3,10,clustalo,ftnoml,0.1024,0.1046,0.1065,0.0984,690,7
3,10,clustalo,ftnoml,0.1355,0.1376,0.2559,0.2160,676,8
3,10,clustalo,ftnoml,0.1504,0.1517,0.2325,0.2038,707,9
4,10,clustalo,ftnoml,0.0941,0.0946,0.1105,0.0935,893,0
4,10,clustalo,ftnoml,0.1160,0.1186,0.1750,0.1588,767,1
4,10,clustalo,ftnoml,0.1048,0.1066,0.1638,0.1462,872,2
4,10,clustalo,ftnoml,0.1138,0.1156,0.1162,0.0904,840,3
4,10,clustalo,ftnoml,0.1657,0.1682,0.2960,0.2576,697,4
4,10,clustalo,ftnoml,0.0838,0.0856,0.1307,0.1222,1094,5
4,10,clustalo,ftnoml,0.1093,0.1111,0.1654,0.1463,736,6
4,10,clustalo,ftnoml,0.0968,0.0991,0.1175,0.1100,800,7
4,10,clustalo,ftnoml,0.1284,0.1306,0.2509,0.2174,768,8
4,10,clustalo,ftnoml,0.1318,0.1331,0.2035,0.1786,823,9
1,25,magus,ft,0.0771,0.0776,0.1011,0.0942,475,0
1,25,magus,ft,0.0813,0.0841,0.1383,0.1300,475,1
1,25,magus,ft,0.1028,0.1046,0.1518,0.1340,487,2
1,25,magus,ft,0.0817,0.0836,0.0879,0.0761,511,3
1,25,magus,ft,0.1933,0.1957,0.2007,0.1818,437,4
1,25,magus,ft,0.0612,0.0631,0.1210,0.1133,622,5
1,25,magus,ft,0.0928,0.0946,0.1370,0.1088,514,6
1,25,magus,ft,0.0963,0.0986,0.1188,0.1040,479,7
1,25,magus,ft,0.0863,0.0886,0.1517,0.1332,535,8
1,25,magus,ft,0.1268,0.1281,0.1676,0.1391,490,9
2,25,magus,ft,0.0546,0.0551,0.0993,0.0893,733,0
2,25,magus,ft,0.0607,0.0636,0.1328,0.1256,663,1
2,25,magus,ft,0.0692,0.0711,0.1376,0.1267,659,2
2,25,magus,ft,0.0491,0.0511,0.0773,0.0689,703,3
2,25,magus,ft,0.1175,0.1201,0.1979,0.1816,611,4
2,25,magus,ft,0.0456,0.0475,0.1188,0.1082,848,5
2,25,magus,ft,0.0637,0.0656,0.1314,0.1141,696,6
