Dataset,Replicate,Method,Iteration,Runtime
RNASim-1000,R5,magus_magus-iter3guide,3,83.4800
RNASim-1000,R5,magus_magus-iter4,4,389.4900
RNASim-1000,R6,magus_clustalo-iter0initi,0,8.5500
RNASim-1000,R6,magus_clustalo-iter1,1,1203.3400
RNASim-1000,R6,magus_clustalo-iter1guide,1,69.8800
RNASim-1000,R6,magus_clustalo-iter2,2,1103.9100
RNASim-1000,R6,magus_clustalo-iter2guide,2,69.5000
RNASim-1000,R6,magus_clustalo-iter3,3,1153.3200
RNASim-1000,R6,magus_clustalo-iter3guide,3,69.4300
RNASim-1000,R6,magus_clustalo-iter4,4,1075.8900
RNASim-1000,R6,magus_default-iter0initi,0,561.4500
RNASim-1000,R6,magus_default-iter1,1,840.1700
RNASim-1000,R6,magus_magus-iter0initi,0,470.4600
RNASim-1000,R6,magus_magus-iter1,1,365.6800
RNASim-1000,R6,magus_magus-iter1guide,1,83.0600
RNASim-1000,R6,magus_magus-iter2,2,347.5400
RNASim-1000,R6,magus_magus-iter2guide,2,84.2100
RNASim-1000,R6,magus_magus-iter3,3,343.3100
RNASim-1000,R6,magus_magus-iter3guide,3,84.0600
RNASim-1000,R6,magus_magus-iter4,4,397.5300
RNASim-1000,R7,magus_clustalo-iter0initi,0,9.5400
RNASim-1000,R7,magus_clustalo-iter1,1,1078.1300
RNASim-1000,R7,magus_clustalo-iter1guide,1,80.0000
RNASim-1000,R7,magus_clustalo-iter2,2,1033.0700
RNASim-1000,R7,magus_clustalo-iter2guide,2,78.6400
RNASim-1000,R7,magus_clustalo-iter3,3,1072.1900
RNASim-1000,R7,magus_clustalo-iter3guide,3,78.0800
RNASim-1000,R7,magus_clustalo-iter4,4,1030.8700
RNASim-1000,R7,magus_default-iter0initi,0,486.0800
RNASim-1000,R7,magus_default-iter1,1,582.5200
RNASim-1000,R7,magus_magus-iter0initi,0,442.9400
RNASim-1000,R7,magus_magus-iter1,1,350.9600
RNASim-1000,R7,magus_magus-iter1guide,1,79.7800
RNASim-1000,R7,magus_magus-iter2,2,345.9300
RNASim-1000,R7,magus_magus-iter2guide,2,79.9200
RNASim-1000,R7,magus_magus-iter3,3,354.9800
RNASim-1000,R7,magus_magus-iter3guide,3,79.9300
RNASim-1000,R7,magus_magus-iter4,4,338.4700
RNASim-1000,R8,magus_clustalo-iter0initi,0,8.7900
RNASim-1000,R8,magus_clustalo-iter1,1,1102.4500
RNASim-1000,R8,magus_clustalo-iter1guide,1,84.2500
RNASim-1000,R8,magus_clustalo-iter2,2,1132.1400
RNASim-1000,R8,magus_clustalo-iter2guide,2,82.6300
RNASim-1000,R8,magus_clustalo-iter3,3,1199.7500
RNASim-1000,R8,magus_clustalo-iter3guide,3,83.6900
RNASim-1000,R8,magus_clustalo-iter4,4,1100.2400
RNASim-1000,R8,magus_default-iter0initi,0,566.4600
RNASim-1000,R8,magus_default-iter1,1,1134.3000
RNASim-1000,R8,magus_magus-iter0initi,0,386.2500
RNASim-1000,R8,magus_magus-iter1,1,345.9400
RNASim-1000,R8,magus_magus-iter1guide,1,84.1900
RNASim-1000,R8,magus_magus-iter2,2,349.6900
RNASim-1000,R8,magus_magus-iter2guide,2,83.9400
RNASim-1000,R8,magus_magus-iter3,3,351.9300
RNASim-1000,R8,magus_magus-iter3guide,3,83.4800
RNASim-1000,R8,magus_magus-iter4,4,392.5400
RNASim-1000,R9,magus_clustalo-iter0initi,0,7.0800
RNASim-1000,R9,magus_clustalo-iter1,1,793.6500
RNASim-1000,R9,magus_clustalo-iter1guide,1,56.2000
