dataset,replicate,method,iteration,runtime
RNASim-10000,R5,magus_clustalo-iter0,0,148.7500
RNASim-10000,R5,magus_clustalo-iter1,1,7892.8700
RNASim-10000,R5,magus_clustalo-iter2,2,7135.2400
RNASim-10000,R5,magus_clustalo-iter3,3,7223.0400
RNASim-10000,R5,magus_clustalo-iter4,4,934.2400
RNASim-10000,R5,magus_default-iter0,0,1945.6900
RNASim-10000,R5,magus_default-iter1,1,3741.2400
RNASim-10000,R5,magus_magus-iter0,0,4837.7300
RNASim-10000,R5,magus_magus-iter1,1,7143.2600
RNASim-10000,R5,magus_magus-iter2,2,6996.0000
RNASim-10000,R5,magus_magus-iter3,3,7268.6100
RNASim-10000,R5,magus_magus-iter4,4,924.5100
RNASim-10000,R5,muscle,-1,38672.7200
RNASim-10000,R5,pasta-iter3,3,6762.3000
RNASim-10000,R6,clustalo,-1,8651.4300
RNASim-10000,R6,mafft,-1,93.2100
RNASim-10000,R6,magus_clustalo-iter0,0,150.0600
RNASim-10000,R6,magus_clustalo-iter1,1,7616.9800
RNASim-10000,R6,magus_clustalo-iter2,2,7252.4500
RNASim-10000,R6,magus_clustalo-iter3,3,7236.2900
RNASim-10000,R6,magus_clustalo-iter4,4,885.6900
RNASim-10000,R6,magus_default-iter0,0,1936.7700
RNASim-10000,R6,magus_default-iter1,1,3618.1600
RNASim-10000,R6,magus_magus-iter0,0,4731.7600
RNASim-10000,R6,magus_magus-iter1,1,7119.8600
RNASim-10000,R6,magus_magus-iter2,2,7203.2800
RNASim-10000,R6,magus_magus-iter3,3,6811.9300
RNASim-10000,R6,magus_magus-iter4,4,918.1100
RNASim-10000,R6,muscle,-1,39324.9200
RNASim-10000,R6,pasta-iter3,3,6774.6700
RNASim-10000,R7,clustalo,-1,8610.6900
RNASim-10000,R7,mafft,-1,89.9100
RNASim-10000,R7,magus_clustalo-iter0,0,145.3700
RNASim-10000,R7,magus_clustalo-iter1,1,7526.3900
RNASim-10000,R7,magus_clustalo-iter2,2,7170.4200
RNASim-10000,R7,magus_clustalo-iter3,3,6733.1700
RNASim-10000,R7,magus_clustalo-iter4,4,927.3400
RNASim-10000,R7,magus_default-iter0,0,1988.8300
RNASim-10000,R7,magus_default-iter1,1,3606.2600
RNASim-10000,R7,magus_magus-iter0,0,4551.8400
RNASim-10000,R7,magus_magus-iter1,1,7033.0800
RNASim-10000,R7,magus_magus-iter2,2,7135.2400
RNASim-10000,R7,magus_magus-iter3,3,7202.8000
RNASim-10000,R7,magus_magus-iter4,4,964.6000
RNASim-10000,R7,muscle,-1,38817.7800
RNASim-10000,R7,pasta-iter3,3,6289.5100
RNASim-10000,R8,clustalo,-1,8876.0800
RNASim-10000,R8,mafft,-1,90.3600
RNASim-10000,R8,magus_clustalo-iter0,0,148.4100
RNASim-10000,R8,magus_clustalo-iter1,1,7941.2700
RNASim-10000,R8,magus_clustalo-iter2,2,6805.5500
RNASim-10000,R8,magus_clustalo-iter3,3,7297.2500
RNASim-10000,R8,magus_clustalo-iter4,4,916.3300
RNASim-10000,R8,magus_default-iter0,0,1942.1200
RNASim-10000,R8,magus_default-iter1,1,3608.2200
RNASim-10000,R8,magus_magus-iter0,0,4694.8400
RNASim-10000,R8,magus_magus-iter1,1,7070.8700
RNASim-10000,R8,magus_magus-iter2,2,7218.4800
RNASim-10000,R8,magus_magus-iter3,3,7078.1300
RNASim-10000,R8,magus_magus-iter4,4,958.9900
RNASim-10000,R8,muscle,-1,39745.0800
RNASim-10000,R8,pasta-iter3,3,6645.7000
RNASim-10000,R9,clustalo,-1,8734.0400
RNASim-10000,R9,mafft,-1,90.8300
RNASim-10000,R9,magus_clustalo-iter0,0,144.9400
RNASim-10000,R9,magus_clustalo-iter1,1,8010.7500
RNASim-10000,R9,magus_clustalo-iter2,2,7175.8800
RNASim-10000,R9,magus_clustalo-iter3,3,7220.6700
RNASim-10000,R9,magus_clustalo-iter4,4,990.8000
RNASim-10000,R9,magus_default-iter0,0,2165.3200
RNASim-10000,R9,magus_default-iter1,1,3701.3600
RNASim-10000,R9,magus_magus-iter0,0,4739.8900
RNASim-10000,R9,magus_magus-iter1,1,7177.9900
RNASim-10000,R9,magus_magus-iter2,2,7331.4400
RNASim-10000,R9,magus_magus-iter3,3,7192.1300
RNASim-10000,R9,magus_magus-iter4,4,1017.0400
RNASim-10000,R9,muscle,-1,39052.1000
RNASim-10000,R9,pasta-iter3,3,7153.3500
ROSE-1000L1,R0,clustalo,-1,564.2600
ROSE-1000L1,R0,mafft,-1,17.8100
ROSE-1000L1,R0,magus_clustalo-iter0,0,23.3700
ROSE-1000L1,R0,magus_clustalo-iter1,1,481.3400
ROSE-1000L1,R0,magus_clustalo-iter2,2,452.3400
ROSE-1000L1,R0,magus_clustalo-iter3,3,456.5500
ROSE-1000L1,R0,magus_clustalo-iter4,4,383.7000
ROSE-1000L1,R0,magus_default-iter0,0,486.3200
ROSE-1000L1,R0,magus_default-iter1,1,561.5000
ROSE-1000L1,R0,magus_magus-iter0,0,702.7400
ROSE-1000L1,R0,magus_magus-iter1,1,157.6600
ROSE-1000L1,R0,magus_magus-iter2,2,166.2000
ROSE-1000L1,R0,magus_magus-iter3,3,167.8700
ROSE-1000L1,R0,magus_magus-iter4,4,125.4500
ROSE-1000L1,R0,muscle,-1,3549.7000
ROSE-1000L1,R0,pasta-iter3,3,835.7300
ROSE-1000L1,R1,clustalo,-1,513.9200
ROSE-1000L1,R1,mafft,-1,17.8300
ROSE-1000L1,R1,magus_clustalo-iter0,0,23.7700
ROSE-1000L1,R1,magus_clustalo-iter1,1,468.7200
ROSE-1000L1,R1,magus_clustalo-iter2,2,415.3000
ROSE-1000L1,R1,magus_clustalo-iter3,3,395.0600
ROSE-1000L1,R1,magus_clustalo-iter4,4,376.8500
ROSE-1000L1,R1,magus_default-iter0,0,528.6800
ROSE-1000L1,R1,magus_default-iter1,1,648.5600
ROSE-1000L1,R1,magus_magus-iter0,0,781.5400
ROSE-1000L1,R1,magus_magus-iter1,1,167.6700
ROSE-1000L1,R1,magus_magus-iter2,2,155.2600
ROSE-1000L1,R1,magus_magus-iter3,3,160.6600
ROSE-1000L1,R1,magus_magus-iter4,4,130.7300
ROSE-1000L1,R1,muscle,-1,2064.2100
ROSE-1000L1,R1,pasta-iter3,3,1214.1800
ROSE-1000L1,R2,clustalo,-1,463.3600
ROSE-1000L1,R2,mafft,-1,17.9400
ROSE-1000L1,R2,magus_clustalo-iter0,0,23.6800
ROSE-1000L1,R2,magus_clustalo-iter1,1,463.9000
ROSE-1000L1,R2,magus_clustalo-iter2,2,402.6000
ROSE-1000L1,R2,magus_clustalo-iter3,3,411.4900
ROSE-1000L1,R2,magus_clustalo-iter4,4,367.5500
ROSE-1000L1,R2,magus_default-iter0,0,509.4600
ROSE-1000L1,R2,magus_default-iter1,1,659.1200
ROSE-1000L1,R2,magus_magus-iter0,0,774.0600
ROSE-1000L1,R2,magus_magus-iter1,1,189.6000
ROSE-1000L1,R2,magus_magus-iter2,2,178.2200
ROSE-1000L1,R2,magus_magus-iter3,3,158.2600
ROSE-1000L1,R2,magus_magus-iter4,4,134.7700
ROSE-1000L1,R2,muscle,-1,2072.0600
ROSE-1000L1,R2,pasta-iter3,3,1503.9100
ROSE-1000L1,R3,clustalo,-1,854.4600
ROSE-1000L1,R3,mafft,-1,18.5800
ROSE-1000L1,R3,magus_clustalo-iter0,0,23.6200
ROSE-1000L1,R3,magus_clustalo-iter1,1,377.9100
ROSE-1000L1,R3,magus_clustalo-iter2,2,315.2100
ROSE-1000L1,R3,magus_clustalo-iter3,3,298.5000
ROSE-1000L1,R3,magus_clustalo-iter4,4,284.7100
ROSE-1000L1,R3,magus_default-iter0,0,460.2300
ROSE-1000L1,R3,magus_default-iter1,1,775.9400
ROSE-1000L1,R3,magus_magus-iter0,0,942.2800
ROSE-1000L1,R3,magus_magus-iter1,1,206.2200
ROSE-1000L1,R3,magus_magus-iter2,2,205.3700
ROSE-1000L1,R3,magus_magus-iter3,3,200.5000
ROSE-1000L1,R3,magus_magus-iter4,4,143.8500
ROSE-1000L1,R3,muscle,-1,2202.0700
ROSE-1000L1,R3,pasta-iter3,3,1041.3900
ROSE-1000L1,R4,clustalo,-1,555.9300
ROSE-1000L1,R4,mafft,-1,17.1700
ROSE-1000L1,R4,magus_clustalo-iter0,0,22.8900
ROSE-1000L1,R4,magus_clustalo-iter1,1,412.2100
ROSE-1000L1,R4,magus_clustalo-iter2,2,368.6400
ROSE-1000L1,R4,magus_clustalo-iter3,3,372.6800
ROSE-1000L1,R4,magus_clustalo-iter4,4,328.6700
ROSE-1000L1,R4,magus_default-iter0,0,453.3600
ROSE-1000L1,R4,magus_default-iter1,1,626.2200
