dataset,replicate,method,iteration,runtime
RNASim-1000,R5,muscle,-1,5518.1300
RNASim-1000,R5,pasta-iter3,3,3576.4200
RNASim-1000,R6,clustalo,-1,548.1200
RNASim-1000,R6,mafft,-1,12.9100
RNASim-1000,R6,magus_clustalo-iter0,0,21.4600
RNASim-1000,R6,magus_clustalo-iter1,1,1294.6800
RNASim-1000,R6,magus_clustalo-iter2,2,2468.0900
RNASim-1000,R6,magus_clustalo-iter3,3,3690.8400
RNASim-1000,R6,magus_clustalo-iter4,4,4766.7300
RNASim-1000,R6,magus_default-iter0,0,1637.3400
RNASim-1000,R6,magus_default-iter1,1,3317.6800
RNASim-1000,R6,magus_magus-iter0,0,2150.8000
RNASim-1000,R6,magus_magus-iter1,1,2599.5400
RNASim-1000,R6,magus_magus-iter2,2,3031.2900
RNASim-1000,R6,magus_magus-iter3,3,3458.6600
RNASim-1000,R6,magus_magus-iter4,4,3856.1900
RNASim-1000,R6,muscle,-1,3799.3600
RNASim-1000,R6,pasta-iter3,3,2876.7000
RNASim-1000,R7,clustalo,-1,685.2100
RNASim-1000,R7,mafft,-1,14.1700
RNASim-1000,R7,magus_clustalo-iter0,0,23.7100
RNASim-1000,R7,magus_clustalo-iter1,1,1181.8400
RNASim-1000,R7,magus_clustalo-iter2,2,2293.5500
RNASim-1000,R7,magus_clustalo-iter3,3,3443.8200
RNASim-1000,R7,magus_clustalo-iter4,4,4474.6900
RNASim-1000,R7,magus_default-iter0,0,1516.9500
RNASim-1000,R7,magus_default-iter1,1,2681.9900
RNASim-1000,R7,magus_magus-iter0,0,1607.9800
RNASim-1000,R7,magus_magus-iter1,1,2038.7200
RNASim-1000,R7,magus_magus-iter2,2,2464.5700
RNASim-1000,R7,magus_magus-iter3,3,2899.4800
RNASim-1000,R7,magus_magus-iter4,4,3237.9500
RNASim-1000,R7,muscle,-1,3976.2500
RNASim-1000,R7,pasta-iter3,3,2807.5700
RNASim-1000,R8,clustalo,-1,705.3300
RNASim-1000,R8,mafft,-1,14.7300
RNASim-1000,R8,magus_clustalo-iter0,0,23.5200
RNASim-1000,R8,magus_clustalo-iter1,1,1210.2200
RNASim-1000,R8,magus_clustalo-iter2,2,2424.9900
RNASim-1000,R8,magus_clustalo-iter3,3,3708.4300
RNASim-1000,R8,magus_clustalo-iter4,4,4808.6700
RNASim-1000,R8,magus_default-iter0,0,1666.7000
RNASim-1000,R8,magus_default-iter1,1,3935.3000
RNASim-1000,R8,magus_magus-iter0,0,2654.8500
RNASim-1000,R8,magus_magus-iter1,1,3084.9800
RNASim-1000,R8,magus_magus-iter2,2,3518.6100
RNASim-1000,R8,magus_magus-iter3,3,3954.0200
RNASim-1000,R8,magus_magus-iter4,4,4346.5600
RNASim-1000,R8,muscle,-1,4023.9100
RNASim-1000,R8,pasta-iter3,3,3596.0100
RNASim-1000,R9,clustalo,-1,468.3600
RNASim-1000,R9,mafft,-1,15.4900
RNASim-1000,R9,magus_clustalo-iter0,0,22.5700
RNASim-1000,R9,magus_clustalo-iter1,1,872.4200
RNASim-1000,R9,magus_clustalo-iter2,2,1710.8200
RNASim-1000,R9,magus_clustalo-iter3,3,2528.5600
RNASim-1000,R9,magus_clustalo-iter4,4,3222.8900
RNASim-1000,R9,magus_default-iter0,0,1126.8800
RNASim-1000,R9,magus_default-iter1,1,2326.4200
RNASim-1000,R9,magus_magus-iter0,0,1642.7300
RNASim-1000,R9,magus_magus-iter1,1,2058.4800
RNASim-1000,R9,magus_magus-iter2,2,2493.2700
RNASim-1000,R9,magus_magus-iter3,3,2902.9000
RNASim-1000,R9,magus_magus-iter4,4,3266.9900
RNASim-1000,R9,muscle,-1,3854.8500
RNASim-1000,R9,pasta-iter3,3,3309.3600
RNASim-10000,R0,clustalo,-1,8415.1100
RNASim-10000,R0,mafft,-1,92.3900
RNASim-10000,R0,magus_clustalo-iter0,0,147.7300
RNASim-10000,R0,magus_clustalo-iter1,1,7980.9500
RNASim-10000,R0,magus_clustalo-iter2,2,15272.0700
RNASim-10000,R0,magus_clustalo-iter3,3,22466.6800
RNASim-10000,R0,magus_clustalo-iter4,4,23417.3000
RNASim-10000,R0,magus_default-iter0,0,2050.0700
RNASim-10000,R0,magus_default-iter1,1,5758.4700
RNASim-10000,R0,magus_magus-iter0,0,4709.6900
RNASim-10000,R0,magus_magus-iter1,1,12026.9100
RNASim-10000,R0,magus_magus-iter2,2,19230.7500
RNASim-10000,R0,magus_magus-iter3,3,26384.5800
RNASim-10000,R0,magus_magus-iter4,4,27333.7200
RNASim-10000,R0,muscle,-1,39628.5700
RNASim-10000,R0,pasta-iter3,3,6682.1400
RNASim-10000,R1,clustalo,-1,8549.9200
RNASim-10000,R1,mafft,-1,93.7500
RNASim-10000,R1,magus_clustalo-iter0,0,148.4700
RNASim-10000,R1,magus_clustalo-iter1,1,7771.8800
RNASim-10000,R1,magus_clustalo-iter2,2,14969.4700
RNASim-10000,R1,magus_clustalo-iter3,3,22075.6200
