Dataset,Replicate,Method,Iteration,Runtime
RNASim-1000,R3,magus_magus-iter3guide,3,1890.1300
RNASim-1000,R3,magus_magus-iter4,4,2245.7600
RNASim-1000,R4,magus_clustalo-iter0initi,0,7.4300
RNASim-1000,R4,magus_clustalo-iter1,1,796.4500
RNASim-1000,R4,magus_clustalo-iter1guide,1,851.6700
RNASim-1000,R4,magus_clustalo-iter2,2,1617.5500
RNASim-1000,R4,magus_clustalo-iter2guide,2,1672.1500
RNASim-1000,R4,magus_clustalo-iter3,3,2458.8900
RNASim-1000,R4,magus_clustalo-iter3guide,3,2513.5200
RNASim-1000,R4,magus_clustalo-iter4,4,3261.3800
RNASim-1000,R4,magus_default-iter0initi,0,583.4900
RNASim-1000,R4,magus_default-iter1,1,1804.1600
RNASim-1000,R4,magus_magus-iter0initi,0,471.5200
RNASim-1000,R4,magus_magus-iter1,1,857.8600
RNASim-1000,R4,magus_magus-iter1guide,1,939.3600
RNASim-1000,R4,magus_magus-iter2,2,1297.5600
RNASim-1000,R4,magus_magus-iter2guide,2,1380.6100
RNASim-1000,R4,magus_magus-iter3,3,1734.7400
RNASim-1000,R4,magus_magus-iter3guide,3,1817.0500
RNASim-1000,R4,magus_magus-iter4,4,2204.5600
RNASim-1000,R5,magus_clustalo-iter0initi,0,8.7800
RNASim-1000,R5,magus_clustalo-iter1,1,1134.9900
RNASim-1000,R5,magus_clustalo-iter1guide,1,1206.1300
RNASim-1000,R5,magus_clustalo-iter2,2,2269.0900
RNASim-1000,R5,magus_clustalo-iter2guide,2,2338.8500
RNASim-1000,R5,magus_clustalo-iter3,3,3368.3400
RNASim-1000,R5,magus_clustalo-iter3guide,3,3440.8400
RNASim-1000,R5,magus_clustalo-iter4,4,4473.8700
RNASim-1000,R5,magus_default-iter0initi,0,409.7400
RNASim-1000,R5,magus_default-iter1,1,1100.2100
RNASim-1000,R5,magus_magus-iter0initi,0,541.3600
RNASim-1000,R5,magus_magus-iter1,1,902.8200
RNASim-1000,R5,magus_magus-iter1guide,1,988.3000
RNASim-1000,R5,magus_magus-iter2,2,1339.5200
RNASim-1000,R5,magus_magus-iter2guide,2,1425.1500
RNASim-1000,R5,magus_magus-iter3,3,1764.1900
RNASim-1000,R5,magus_magus-iter3guide,3,1847.6700
RNASim-1000,R5,magus_magus-iter4,4,2237.1600
RNASim-1000,R6,magus_clustalo-iter0initi,0,8.5500
RNASim-1000,R6,magus_clustalo-iter1,1,1211.8900
RNASim-1000,R6,magus_clustalo-iter1guide,1,1281.7700
RNASim-1000,R6,magus_clustalo-iter2,2,2385.6800
RNASim-1000,R6,magus_clustalo-iter2guide,2,2455.1800
RNASim-1000,R6,magus_clustalo-iter3,3,3608.5000
RNASim-1000,R6,magus_clustalo-iter3guide,3,3677.9300
RNASim-1000,R6,magus_clustalo-iter4,4,4753.8200
RNASim-1000,R6,magus_default-iter0initi,0,561.4500
RNASim-1000,R6,magus_default-iter1,1,1401.6200
RNASim-1000,R6,magus_magus-iter0initi,0,470.4600
RNASim-1000,R6,magus_magus-iter1,1,836.1400
RNASim-1000,R6,magus_magus-iter1guide,1,919.2000
RNASim-1000,R6,magus_magus-iter2,2,1266.7400
RNASim-1000,R6,magus_magus-iter2guide,2,1350.9500
RNASim-1000,R6,magus_magus-iter3,3,1694.2600
RNASim-1000,R6,magus_magus-iter3guide,3,1778.3200
RNASim-1000,R6,magus_magus-iter4,4,2175.8500
RNASim-1000,R7,magus_clustalo-iter0initi,0,9.5400
RNASim-1000,R7,magus_clustalo-iter1,1,1087.6700
RNASim-1000,R7,magus_clustalo-iter1guide,1,1167.6700
RNASim-1000,R7,magus_clustalo-iter2,2,2200.7400
RNASim-1000,R7,magus_clustalo-iter2guide,2,2279.3800
RNASim-1000,R7,magus_clustalo-iter3,3,3351.5700
RNASim-1000,R7,magus_clustalo-iter3guide,3,3429.6500
RNASim-1000,R7,magus_clustalo-iter4,4,4460.5200
RNASim-1000,R7,magus_default-iter0initi,0,486.0800
RNASim-1000,R7,magus_default-iter1,1,1068.6000
RNASim-1000,R7,magus_magus-iter0initi,0,442.9400
RNASim-1000,R7,magus_magus-iter1,1,793.9000
RNASim-1000,R7,magus_magus-iter1guide,1,873.6800
RNASim-1000,R7,magus_magus-iter2,2,1219.6100
RNASim-1000,R7,magus_magus-iter2guide,2,1299.5300
RNASim-1000,R7,magus_magus-iter3,3,1654.5100
RNASim-1000,R7,magus_magus-iter3guide,3,1734.4400
RNASim-1000,R7,magus_magus-iter4,4,2072.9100
RNASim-1000,R8,magus_clustalo-iter0initi,0,8.7900
RNASim-1000,R8,magus_clustalo-iter1,1,1111.2400
RNASim-1000,R8,magus_clustalo-iter1guide,1,1195.4900
RNASim-1000,R8,magus_clustalo-iter2,2,2327.6300
RNASim-1000,R8,magus_clustalo-iter2guide,2,2410.2600
RNASim-1000,R8,magus_clustalo-iter3,3,3610.0100
RNASim-1000,R8,magus_clustalo-iter3guide,3,3693.7000
RNASim-1000,R8,magus_clustalo-iter4,4,4793.9400
RNASim-1000,R8,magus_default-iter0initi,0,566.4600
RNASim-1000,R8,magus_default-iter1,1,1700.7600
RNASim-1000,R8,magus_magus-iter0initi,0,386.2500
RNASim-1000,R8,magus_magus-iter1,1,732.1900
RNASim-1000,R8,magus_magus-iter1guide,1,816.3800
RNASim-1000,R8,magus_magus-iter2,2,1166.0700
RNASim-1000,R8,magus_magus-iter2guide,2,1250.0100
RNASim-1000,R8,magus_magus-iter3,3,1601.9400
RNASim-1000,R8,magus_magus-iter3guide,3,1685.4200
RNASim-1000,R8,magus_magus-iter4,4,2077.9600
RNASim-1000,R9,magus_clustalo-iter0initi,0,7.0800
RNASim-1000,R9,magus_clustalo-iter1,1,800.7300
RNASim-1000,R9,magus_clustalo-iter1guide,1,856.9300
RNASim-1000,R9,magus_clustalo-iter2,2,1639.0000
RNASim-1000,R9,magus_clustalo-iter2guide,2,1695.3300
RNASim-1000,R9,magus_clustalo-iter3,3,2455.5500
RNASim-1000,R9,magus_clustalo-iter3guide,3,2513.0700
RNASim-1000,R9,magus_clustalo-iter4,4,3207.4000
RNASim-1000,R9,magus_default-iter0initi,0,432.5500
RNASim-1000,R9,magus_default-iter1,1,1032.3200
RNASim-1000,R9,magus_magus-iter0initi,0,443.1900
RNASim-1000,R9,magus_magus-iter1,1,775.6100
RNASim-1000,R9,magus_magus-iter1guide,1,858.9400
RNASim-1000,R9,magus_magus-iter2,2,1210.2200
RNASim-1000,R9,magus_magus-iter2guide,2,1293.7300
RNASim-1000,R9,magus_magus-iter3,3,1619.7800
RNASim-1000,R9,magus_magus-iter3guide,3,1703.3600
RNASim-1000,R9,magus_magus-iter4,4,2067.4500
RNASim-10000,R0,magus_clustalo-iter0initi,0,55.3400
RNASim-10000,R0,magus_clustalo-iter1,1,1041.6900
RNASim-10000,R0,magus_clustalo-iter1guide,1,7888.5600
RNASim-10000,R0,magus_clustalo-iter2,2,8854.9900
RNASim-10000,R0,magus_clustalo-iter2guide,2,15179.6800
RNASim-10000,R0,magus_clustalo-iter3,3,16148.3600
RNASim-10000,R0,magus_clustalo-iter3guide,3,22374.2900
RNASim-10000,R0,magus_clustalo-iter4,4,23324.9100
RNASim-10000,R0,magus_default-iter0initi,0,1099.4500
RNASim-10000,R0,magus_default-iter1,1,2953.6500
RNASim-10000,R0,magus_magus-iter0initi,0,1001.2900
RNASim-10000,R0,magus_magus-iter1,1,1998.6100
RNASim-10000,R0,magus_magus-iter1guide,1,8318.5100
RNASim-10000,R0,magus_magus-iter2,2,9289.8500
RNASim-10000,R0,magus_magus-iter2guide,2,15522.3500
RNASim-10000,R0,magus_magus-iter3,3,16444.7800
RNASim-10000,R0,magus_magus-iter3guide,3,22676.1800
